Plate_number	Sample_name	Replicate	Sample_type	Treatment	Blanking_group	Dilution_factor	Standard_group	Ave_abs_blanked	StdDev_abs_blanked	Ave_concentration	StdDev_concentration	Concentration_units
2	t0_1	1	Unknown	Fe2	Fe2	1.09	1	0.0697	0.002969848	100.7417368	4.292506372	uM
2	t0_1	1	Unknown	FeTot	FeTot	1.09	1	0.07435	0.002687006	107.4626705	3.883696241	uM
2	t0_10	1	Unknown	Fe2	Fe2	1.09	1	0.0427	0.000707107	61.71696073	1.022025327	uM
2	t0_10	1	Unknown	FeTot	FeTot	1.09	1	0.07085	0.00311127	102.4039032	4.496911437	uM
2	t0_11	1	Unknown	Fe2	Fe2	1.09	1	0.03825	7.07E-05	55.28509948	0.102202533	uM
2	t0_11	1	Unknown	FeTot	FeTot	1.09	1	0.0662	0.000494975	95.68296956	0.715417729	uM
2	t0_12	1	Unknown	Fe2	Fe2	1.09	1	0.0433	0.001555635	62.58417797	2.248455718	uM
2	t0_12	1	Unknown	FeTot	FeTot	1.09	1	0.0782	0.001909188	113.0273145	2.759468382	uM
2	t0_13	1	Unknown	Fe2	Fe2	1.09	1	0.0734	0.000989949	106.0895765	1.430835457	uM
2	t0_13	1	Unknown	FeTot	FeTot	1.09	1	0.08035	0.002687006	116.134843	3.883696241	uM
2	t0_14	1	Unknown	Fe2	Fe2	1.09	1	0.0822	0.007212489	118.8087628	10.42465833	uM
2	t0_14	1	Unknown	FeTot	FeTot	1.09	1	0.0791	0.002616295	114.3281404	3.781493708	uM
2	t0_15	1	Unknown	Fe2	Fe2	1.09	1	0.0482	0.000707107	69.66645216	1.022025327	uM
2	t0_15	1	Unknown	FeTot	FeTot	1.09	1	0.0759	0.000494975	109.7029817	0.715417729	uM
2	t0_16	1	Unknown	Fe2	Fe2	1.09	1	0.04745	0.000919239	68.5824306	1.328632925	uM
2	t0_16	1	Unknown	FeTot	FeTot	1.09	1	0.07835	0.000282843	113.2441188	0.408810131	uM
2	t0_2	1	Unknown	Fe2	Fe2	1.09	1	0.0827	0.005656854	119.5314438	8.176202613	uM
2	t0_2	1	Unknown	FeTot	FeTot	1.09	1	0.0907	0.001484924	131.0943405	2.146253186	uM
2	t0_3	1	Unknown	Fe2	Fe2	1.09	1	0.04235	0.00205061	61.211084	2.963873447	uM
2	t0_3	1	Unknown	FeTot	FeTot	1.09	1	0.0701	0.000212132	101.3198817	0.306607598	uM
2	t0_4	1	Unknown	Fe2	Fe2	1.09	1	0.04825	0.00106066	69.73872026	1.53303799	uM
2	t0_4	1	Unknown	FeTot	FeTot	1.09	1	0.08095	0.000424264	117.0020602	0.613215196	uM
2	t0_5	1	Unknown	Fe2	Fe2	1.09	1	0.04185	0.000777817	60.48840296	1.124227859	uM
2	t0_5	1	Unknown	FeTot	FeTot	1.09	1	0.0718	7.07E-05	103.7769972	0.102202533	uM
2	t0_6	1	Unknown	Fe2	Fe2	1.09	1	0.0453	0.000141421	65.47490213	0.204405065	uM
2	t0_6	1	Unknown	FeTot	FeTot	1.09	1	0.0694	0.003889087	100.3081282	5.621139296	uM
2	t0_7	1	Unknown	Fe2	Fe2	1.09	1	0.08025	0.001767767	115.9903068	2.555063316	uM
2	t0_7	1	Unknown	FeTot	FeTot	1.09	1	0.0775	0.000636396	112.015561	0.919822794	uM
2	t0_8	1	Unknown	Fe2	Fe2	1.09	1	0.07385	0.001484924	106.7399895	2.146253186	uM
2	t0_8	1	Unknown	FeTot	FeTot	1.09	1	0.0783	0.001767767	113.1718507	2.555063316	uM
2	t0_9	1	Unknown	Fe2	Fe2	1.09	1	0.04745	0.001626346	68.5824306	2.350658251	uM
2	t0_9	1	Unknown	FeTot	FeTot	1.09	1	0.0798	0.000212132	115.3398938	0.306607598	uM
3	t1_1	1	Unknown	Fe2	Fe2	1.09	1	0.06695	0.000494975	96.76699112	0.715417729	uM
3	t1_1	1	Unknown	FeTot	FeTot	1.09	1	0.07405	0.000777817	107.0290619	1.124227859	uM
3	t1_10	1	Unknown	Fe2	Fe2	1.09	1	0.04655	0.002474874	67.28160473	3.577088643	uM
3	t1_10	1	Unknown	FeTot	FeTot	1.09	1	0.07145	0.00106066	103.2711205	1.53303799	uM
3	t1_11	1	Unknown	Fe2	Fe2	1.09	1	0.0356	0.000565685	51.45488997	0.817620261	uM
3	t1_11	1	Unknown	FeTot	FeTot	1.09	1	0.06615	0.001202082	95.61070146	1.737443055	uM
3	t1_12	1	Unknown	Fe2	Fe2	1.09	1	0.0434	0.001131371	62.72871418	1.635240523	uM
3	t1_12	1	Unknown	FeTot	FeTot	1.09	1	0.07735	0.000919239	111.7987567	1.328632925	uM
3	t1_13	1	Unknown	Fe2	Fe2	1.09	1	0.06835	0.00106066	98.79049803	1.53303799	uM
3	t1_13	1	Unknown	FeTot	FeTot	1.09	1	0.0829	0.000565685	119.8205163	0.817620261	uM
3	t1_14	1	Unknown	Fe2	Fe2	1.09	1	0.07235	0.001626346	104.5719463	2.350658251	uM
3	t1_14	1	Unknown	FeTot	FeTot	1.09	1	0.0825	0.000282843	119.2423714	0.408810131	uM
3	t1_15	1	Unknown	Fe2	Fe2	1.09	1	0.0465	0.000565685	67.20933662	0.817620261	uM
3	t1_15	1	Unknown	FeTot	FeTot	1.09	1	0.0762	0.001838478	110.1365903	2.657265849	uM
3	t1_16	1	Unknown	Fe2	Fe2	1.09	1	0.0488	0.000707107	70.5336694	1.022025327	uM
3	t1_16	1	Unknown	FeTot	FeTot	1.09	1	0.0767	NA	110.8592714	NA	uM
3	t1_2	1	Unknown	Fe2	Fe2	1.09	1	0.0825	0.000848528	119.2423714	1.226430392	uM
3	t1_2	1	Unknown	FeTot	FeTot	1.09	1	0.08815	7.07E-05	127.4086672	0.102202533	uM
3	t1_3	1	Unknown	Fe2	Fe2	1.09	1	0.04145	0.000777817	59.91025813	1.124227859	uM
3	t1_3	1	Unknown	FeTot	FeTot	1.09	1	0.07035	0.000919239	101.6812222	1.328632925	uM
3	t1_4	1	Unknown	Fe2	Fe2	1.09	1	0.0496	0.001414214	71.68995907	2.044050653	uM
3	t1_4	1	Unknown	FeTot	FeTot	1.09	1	0.08025	0.001909188	115.9903068	2.759468382	uM
3	t1_5	1	Unknown	Fe2	Fe2	1.09	1	0.0442	0.000424264	63.88500384	0.613215196	uM
3	t1_5	1	Unknown	FeTot	FeTot	1.09	1	0.0738	0.001272792	106.6677214	1.839645588	uM
3	t1_6	1	Unknown	Fe2	Fe2	1.09	1	0.04705	0.000919239	68.00428577	1.328632925	uM
3	t1_6	1	Unknown	FeTot	FeTot	1.09	1	0.0753	0.000282843	108.8357645	0.408810131	uM
3	t1_7	1	Unknown	Fe2	Fe2	1.09	1	0.07775	0.002616295	112.3769016	3.781493708	uM
3	t1_7	1	Unknown	FeTot	FeTot	1.09	1	0.0823	0.000848528	118.953299	1.226430392	uM
3	t1_8	1	Unknown	Fe2	Fe2	1.09	1	0.06995	0.004030509	101.1030774	5.825544361	uM
3	t1_8	1	Unknown	FeTot	FeTot	1.09	1	0.0787	0.000565685	113.7499955	0.817620261	uM
3	t1_9	1	Unknown	Fe2	Fe2	1.09	1	0.04965	0.000212132	71.76222717	0.306607598	uM
3	t1_9	1	Unknown	FeTot	FeTot	1.09	1	0.07965	0.003040559	115.1230895	4.394708904	uM
4	t2_1	1	Unknown	Fe2	Fe2	1.09	1	0.0671	0	96.98379543	0	uM
4	t2_1	1	Unknown	FeTot	FeTot	1.09	1	0.0748	0.000777817	108.1130834	1.124227859	uM
4	t2_10	1	Unknown	Fe2	Fe2	1.09	1	0.04245	0.000353553	61.35562021	0.511012663	uM
4	t2_10	1	Unknown	FeTot	FeTot	1.09	1	0.07465	0.000707107	107.8962791	1.022025327	uM
4	t2_11	1	Unknown	Fe2	Fe2	1.09	1	0.0358	0.000565685	51.74396239	0.817620261	uM
4	t2_11	1	Unknown	FeTot	FeTot	1.09	1	0.06755	0.000707107	97.63420836	1.022025327	uM
4	t2_12	1	Unknown	Fe2	Fe2	1.09	1	0.04765	0.00106066	68.87150301	1.53303799	uM
4	t2_12	1	Unknown	FeTot	FeTot	1.09	1	0.08075	0.001555635	116.7129878	2.248455718	uM
4	t2_13	1	Unknown	Fe2	Fe2	1.09	1	0.06635	0.000919239	95.89977387	1.328632925	uM
4	t2_13	1	Unknown	FeTot	FeTot	1.09	1	0.0806	0.001626346	116.4961835	2.350658251	uM
4	t2_14	1	Unknown	Fe2	Fe2	1.09	1	0.06635	0.000494975	95.89977387	0.715417729	uM
4	t2_14	1	Unknown	FeTot	FeTot	1.09	1	0.08185	0.003252691	118.3028861	4.701316502	uM
4	t2_15	1	Unknown	Fe2	Fe2	1.09	1	0.04885	0.001343503	70.60593751	1.94184812	uM
4	t2_15	1	Unknown	FeTot	FeTot	1.09	1	0.07805	0.001979899	112.8105102	2.861670914	uM
4	t2_16	1	Unknown	Fe2	Fe2	1.09	1	0.04745	0.000777817	68.5824306	1.124227859	uM
4	t2_16	1	Unknown	FeTot	FeTot	1.09	1	0.08355	0.000141421	120.7600016	0.204405065	uM
4	t2_2	1	Unknown	Fe2	Fe2	1.09	1	0.0827	0.000141421	119.5314438	0.204405065	uM
